欧尚汽车	中国	2432	0.2%	201902
宝沃	德国	2337	0.19%	201902
猎豹汽车	中国	2249	0.18%	201902
东南	中国	2021	0.16%	201902
开瑞	中国	1627	0.13%	201902
路虎	英国	1492	0.12%	201902
雷诺	法国	1470	0.12%	201902
铃木	日本	1449	0.12%	201902
海马	中国	1283	0.1%	201902
北汽昌河	中国	1241	0.1%	201902
大乘汽车	中国	1153	0.09%	201902
一汽	中国	1144	0.09%	201902
福田	中国	1070	0.09%	201902
捷豹	英国	1069	0.09%	201902
英菲尼迪	日本	1055	0.09%	201902
江铃集团新能源	中国	908	0.07%	201902
江铃	中国	908	0.07%	201902
长安凯程	中国	901	0.07%	201902
凯翼	中国	844	0.07%	201902
力帆汽车	中国	674	0.05%	201902
蔚来	中国	654	0.05%	201902
讴歌	日本	645	0.05%	201902
中国重汽VGV	中国	619	0.05%	201902
小鹏汽车	中国	600	0.05%	201902
知豆	中国	485	0.04%	201902
福汽启腾	中国	464	0.04%	201902
北京	中国	181	0.01%	201902
云度	中国	180	0.01%	201902
五十铃	日本	157	0.01%	201902
观致	中国	150	0.01%	201902
DS	法国	150	0.01%	201902
野马汽车	中国	108	0.01%	201902
北汽制造	中国	89	0.01%	201902
东风风度	中国	78	0.01%	201902
福迪	中国	21	-	201902
菲亚特	意大利	19	-	201902
东风	中国	10	-	201902
腾势	中国	3	-	201902
大众	德国	260673	12.96%	201903
本田	日本	145716	7.24%	201903
日产	日本	115985	5.77%	201903
吉利汽车	中国	115578	5.75%	201903
丰田	日本	113853	5.66%	201903
别克	美国	87555	4.35%	201903
五菱汽车	中国	77565	3.86%	201903
现代	韩国	75827	3.77%	201903
哈弗	中国	70570	3.51%	201903
长安	中国	62658	3.12%	201903
奔驰	德国	55157	2.74%	201903
宝骏	中国	50183	2.49%	201903
宝马	德国	49482	2.46%	201903
奥迪	德国	48821	2.43%	201903
荣威	中国	47816	2.38%	201903
比亚迪	中国	44378	2.21%	201903
奇瑞	中国	38089	1.89%	201903
雪佛兰	美国	36260	1.8%	201903
广汽传祺	中国	35015	1.74%	201903
起亚	韩国	31138	1.55%	201903
长安欧尚	中国	23065	1.15%	201903
马自达	日本	22774	1.13%	201903
北汽幻速	中国	22451	1.12%	201903
福特	美国	21956	1.09%	201903
凯迪拉克	美国	18007	0.9%	201903
斯柯达	捷克	17208	0.86%	201903
名爵	中国	17162	0.85%	201903
北汽新能源	中国	16711	0.83%	201903
众泰	中国	16093	0.8%	201903
江汽集团	中国	15555	0.77%	201903
北京汽车	中国	14452	0.72%	201903
东风风光	中国	14260	0.71%	201903
启辰	中国	13560	0.67%	201903
三菱	日本	12838	0.64%	201903
捷途	中国	11929	0.59%	201903
沃尔沃	瑞典	11823	0.59%	201903
东风风行	中国	10705	0.53%	201903
魏牌	中国	10247	0.51%	201903
标致	法国	9818	0.49%	201903
华泰	中国	9230	0.46%	201903
领克	中国	9065	0.45%	201903
金杯	中国	8844	0.44%	201903
Jeep	美国	7663	0.38%	201903
长城	中国	7268	0.36%	201903
欧拉	中国	7031	0.35%	201903
君马汽车	中国	6585	0.33%	201903
东风风神	中国	6208	0.31%	201903
奔腾	中国	6181	0.31%	201903
北京	中国	6019	0.3%	201903
雪铁龙	法国	5407	0.27%	201903
猎豹汽车	中国	4977	0.25%	201903
红旗	中国	4496	0.22%	201903
宝沃	德国	4496	0.22%	201903
东风小康	中国	4481	0.22%	201903
SWM斯威汽车	中国	4081	0.2%	201903
中华	中国	3860	0.19%	201903
铃木	日本	3772	0.19%	201903
上汽大通MAXUS	中国	3728	0.19%	201903
北汽昌河	中国	3225	0.16%	201903
路虎	英国	3154	0.16%	201903
比速汽车	中国	2667	0.13%	201903
英菲尼迪	日本	2613	0.13%	201903
开瑞	中国	2484	0.12%	201903
东南	中国	2308	0.11%	201903
捷豹	英国	1658	0.08%	201903
欧尚汽车	中国	1555	0.08%	201903
一汽	中国	1395	0.07%	201903
凯翼	中国	1390	0.07%	201903
蔚来	中国	1356	0.07%	201903
雷诺	法国	1343	0.07%	201903
福田	中国	1300	0.06%	201903
小鹏汽车	中国	1256	0.06%	201903
大乘汽车	中国	1096	0.05%	201903
长安凯程	中国	1075	0.05%	201903
讴歌	日本	781	0.04%	201903
中国重汽VGV	中国	720	0.04%	201903
海马	中国	626	0.03%	201903
江铃	中国	523	0.03%	201903
江铃集团新能源	中国	523	0.03%	201903
东风	中国	392	0.02%	201903
野马汽车	中国	280	0.01%	201903
五十铃	日本	248	0.01%	201903
云度	中国	239	0.01%	201903
观致	中国	192	0.01%	201903
北汽制造	中国	173	0.01%	201903
DS	法国	153	0.01%	201903
力帆汽车	中国	106	0.01%	201903
纳智捷	中国	96	-	201903
福迪	中国	63	-	201903
东风风度	中国	62	-	201903
腾势	中国	27	-	201903
福汽启腾	中国	3	-	201903
华颂	中国	2	-	201903
大众	德国	233005	14.78%	201904
本田	日本	132121	8.38%	201904
丰田	日本	105557	6.69%	201904
吉利汽车	中国	93788	5.95%	201904
日产	日本	82513	5.23%	201904
别克	美国	63868	4.05%	201904
哈弗	中国	58444	3.71%	201904
现代	韩国	51023	3.24%	201904
五菱汽车	中国	50331	3.19%	201904
宝马	德国	49945	3.17%	201904
奔驰	德国	46252	2.93%	201904
荣威	中国	45935	2.91%	201904
奥迪	德国	40334	2.56%	201904
奇瑞	中国	35137	2.23%	201904
比亚迪	中国	34912	2.21%	201904
雪佛兰	美国	33680	2.14%	201904
长安	中国	33425	2.12%	201904
广汽传祺	中国	26995	1.71%	201904
起亚	韩国	22631	1.44%	201904
宝骏	中国	21841	1.38%	201904
福特	美国	20997	1.33%	201904
名爵	中国	19820	1.26%	201904
斯柯达	捷克	19728	1.25%	201904
凯迪拉克	美国	16980	1.08%	201904
马自达	日本	15477	0.98%	201904
众泰	中国	14883	0.94%	201904
江汽集团	中国	10304	0.65%	201904
三菱	日本	9941	0.63%	201904
金杯	中国	9710	0.62%	201904
捷途	中国	9103	0.58%	201904
领克	中国	9103	0.58%	201904
沃尔沃	瑞典	8580	0.54%	201904
启辰	中国	8100	0.51%	201904
东风风行	中国	8008	0.51%	201904
魏牌	中国	7293	0.46%	201904
宝沃	德国	6711	0.43%	201904
长安欧尚	中国	6304	0.4%	201904
华泰	中国	6187	0.39%	201904
君马汽车	中国	6016	0.38%	201904
奔腾	中国	5687	0.36%	201904
北京汽车	中国	5423	0.34%	201904
雪铁龙	法国	5379	0.34%	201904
北汽新能源	中国	5238	0.33%	201904
长城	中国	5002	0.32%	201904
东风风光	中国	4981	0.32%	201904
Jeep	美国	4917	0.31%	201904
上汽大通MAXUS	中国	4868	0.31%	201904
欧拉	中国	4614	0.29%	201904
红旗	中国	4505	0.29%	201904
标致	法国	3568	0.23%	201904
SWM斯威汽车	中国	3392	0.22%	201904
东风风神	中国	3287	0.21%	201904
东风小康	中国	3053	0.19%	201904
英菲尼迪	日本	2955	0.19%	201904
比速汽车	中国	2722	0.17%	201904
开瑞	中国	2443	0.15%	201904
小鹏汽车	中国	2200	0.14%	201904
铃木	日本	2121	0.13%	201904
星途	中国	2113	0.13%	201904
北汽幻速	中国	1933	0.12%	201904
中华	中国	1856	0.12%	201904
路虎	英国	1767	0.11%	201904
捷豹	英国	1565	0.1%	201904
蔚来	中国	1508	0.1%	201904
一汽	中国	1159	0.07%	201904
东南	中国	1122	0.07%	201904
长安凯程	中国	1077	0.07%	201904
猎豹汽车	中国	1073	0.07%	201904
吉利几何	中国	1017	0.06%	201904
福田	中国	951	0.06%	201904
东风	中国	917	0.06%	201904
讴歌	日本	901	0.06%	201904
中国重汽VGV	中国	720	0.05%	201904
大乘汽车	中国	603	0.04%	201904
雷诺	法国	547	0.03%	201904
凯翼	中国	530	0.03%	201904
力帆汽车	中国	524	0.03%	201904
福汽启腾	中国	523	0.03%	201904
海马	中国	450	0.03%	201904
欧尚汽车	中国	374	0.02%	201904
北京	中国	356	0.02%	201904
江铃	中国	294	0.02%	201904
江铃集团新能源	中国	294	0.02%	201904
北汽昌河	中国	283	0.02%	201904
DS	法国	209	0.01%	201904
云度	中国	200	0.01%	201904
五十铃	日本	180	0.01%	201904
福田乘用车	中国	155	0.01%	201904
北汽制造	中国	154	0.01%	201904
野马汽车	中国	96	0.01%	201904
东风风度	中国	80	0.01%	201904
福迪	中国	58	-	201904
观致	中国	30	-	201904
华颂	中国	7	-	201904
腾势	中国	6	-	201904
纳智捷	中国	5	-	201904
大众	德国	229698	14.22%	201905
本田	日本	128056	7.93%	201905
丰田	日本	118426	7.33%	201905
日产	日本	90451	5.6%	201905
吉利汽车	中国	79744	4.94%	201905
别克	美国	71286	4.41%	201905
雪佛兰	美国	70427	4.36%	201905
哈弗	中国	68485	4.24%	201905
五菱汽车	中国	51708	3.2%	201905
奔驰	德国	49952	3.09%	201905
宝马	德国	46602	2.88%	201905
长安	中国	39280	2.43%	201905
奥迪	德国	37320	2.31%	201905
现代	韩国	37235	2.3%	201905
荣威	中国	35332	2.19%	201905
比亚迪	中国	31905	1.97%	201905
奇瑞	中国	29491	1.83%	201905
广汽传祺	中国	27673	1.71%	201905
宝骏	中国	27589	1.71%	201905
斯柯达	捷克	21581	1.34%	201905
凯迪拉克	美国	20586	1.27%	201905
名爵	中国	19659	1.22%	201905
起亚	韩国	16908	1.05%	201905
马自达	日本	16532	1.02%	201905
江汽集团	中国	14769	0.91%	201905
众泰	中国	12947	0.8%	201905
沃尔沃	瑞典	11464	0.71%	201905
福特	美国	10915	0.68%	201905
三菱	日本	9952	0.62%	201905
东风风光	中国	9598	0.59%	201905
领克	中国	9190	0.57%	201905
北汽新能源	中国	8574	0.53%	201905
捷途	中国	8142	0.5%	201905
北京汽车	中国	8126	0.5%	201905
启辰	中国	8055	0.5%	201905
奔腾	中国	7342	0.45%	201905
宝沃	德国	7153	0.44%	201905
魏牌	中国	6217	0.38%	201905
东风风行	中国	5666	0.35%	201905
比速汽车	中国	5184	0.32%	201905
金杯	中国	5114	0.32%	201905
君马汽车	中国	5114	0.32%	201905
长城	中国	5091	0.32%	201905
红旗	中国	4668	0.29%	201905
雪铁龙	法国	4628	0.29%	201905
欧拉	中国	4541	0.28%	201905
Jeep	美国	4049	0.25%	201905
长安欧尚	中国	3998	0.25%	201905
上汽大通MAXUS	中国	3842	0.24%	201905
观致	中国	3729	0.23%	201905
标致	法国	3677	0.23%	201905
华泰	中国	3473	0.21%	201905
东风风神	中国	3394	0.21%	201905
东风小康	中国	2932	0.18%	201905
SWM斯威汽车	中国	2790	0.17%	201905
小鹏汽车	中国	2704	0.17%	201905
英菲尼迪	日本	2638	0.16%	201905
东南	中国	2423	0.15%	201905
北京	中国	2388	0.15%	201905
捷豹	英国	2297	0.14%	201905
凯翼	中国	2258	0.14%	201905
广汽埃安	中国	1954	0.12%	201905
路虎	英国	1922	0.12%	201905
腾势	中国	1859	0.12%	201905
大乘汽车	中国	1830	0.11%	201905
北汽幻速	中国	1808	0.11%	201905
星途	中国	1701	0.11%	201905
铃木	日本	1560	0.1%	201905
中华	中国	1380	0.09%	201905
吉利几何	中国	1375	0.09%	201905
东风	中国	1325	0.08%	201905
福田	中国	1239	0.08%	201905
开瑞	中国	1231	0.08%	201905
一汽	中国	1221	0.08%	201905
长安凯程	中国	1071	0.07%	201905
蔚来	中国	1068	0.07%	201905
雷诺	法国	1008	0.06%	201905
讴歌	日本	955	0.06%	201905
猎豹汽车	中国	807	0.05%	201905
力帆汽车	中国	806	0.05%	201905
北汽威旺	中国	739	0.05%	201905
福田乘用车	中国	673	0.04%	201905
中国重汽VGV	中国	627	0.04%	201905
江铃集团新能源	中国	500	0.03%	201905
江铃	中国	500	0.03%	201905
海马	中国	277	0.02%	201905
云度	中国	220	0.01%	201905
福汽启腾	中国	172	0.01%	201905
五十铃	日本	125	0.01%	201905
北汽制造	中国	123	0.01%	201905
欧尚汽车	中国	122	0.01%	201905
DS	法国	105	0.01%	201905
纳智捷	中国	103	0.01%	201905
福迪	中国	63	-	201905
北汽昌河	中国	55	-	201905
华颂	中国	4	-	201905
东风风度	中国	4	-	201905
大众	德国	233181	13.57%	201906
本田	日本	136367	7.94%	201906
丰田	日本	115785	6.74%	201906
日产	日本	98477	5.73%	201906
吉利汽车	中国	80171	4.67%	201906
别克	美国	69437	4.04%	201906
现代	韩国	63076	3.67%	201906
长安	中国	57342	3.34%	201906
奥迪	德国	50666	2.95%	201906
奔驰	德国	47544	2.77%	201906
雪佛兰	美国	47148	2.74%	201906
广汽传祺	中国	45618	2.66%	201906
哈弗	中国	45056	2.62%	201906
宝马	德国	42315	2.46%	201906
比亚迪	中国	37254	2.17%	201906
五菱汽车	中国	37132	2.16%	201906
宝骏	中国	35735	2.08%	201906
奇瑞	中国	31249	1.82%	201906
荣威	中国	29487	1.72%	201906
起亚	韩国	22109	1.29%	201906
北京汽车	中国	21507	1.25%	201906
福特	美国	21257	1.24%	201906
北汽新能源	中国	21256	1.24%	201906
凯迪拉克	美国	21211	1.23%	201906
斯柯达	捷克	20847	1.21%	201906
名爵	中国	19404	1.13%	201906
马自达	日本	18170	1.06%	201906
江汽集团	中国	15563	0.91%	201906
奔腾	中国	12852	0.75%	201906
东风风行	中国	12485	0.73%	201906
沃尔沃	瑞典	11482	0.67%	201906
东风风光	中国	11362	0.66%	201906
众泰	中国	10975	0.64%	201906
三菱	日本	10548	0.61%	201906
启辰	中国	8986	0.52%	201906
领克	中国	8652	0.5%	201906
捷途	中国	8071	0.47%	201906
东风风神	中国	7153	0.42%	201906
红旗	中国	6937	0.4%	201906
金杯	中国	6854	0.4%	201906
魏牌	中国	6755	0.39%	201906
比速汽车	中国	5556	0.32%	201906
Jeep	美国	5129	0.3%	201906
宝沃	德国	5066	0.29%	201906
上汽大通MAXUS	中国	4573	0.27%	201906
标致	法国	4535	0.26%	201906
长城	中国	4122	0.24%	201906
雪铁龙	法国	4095	0.24%	201906
君马汽车	中国	4093	0.24%	201906
长安欧尚	中国	3906	0.23%	201906
路虎	英国	3873	0.23%	201906
欧拉	中国	3762	0.22%	201906
华泰	中国	3573	0.21%	201906
英菲尼迪	日本	3247	0.19%	201906
东风小康	中国	3098	0.18%	201906
SWM斯威汽车	中国	3079	0.18%	201906
观致	中国	3031	0.18%	201906
捷豹	英国	2936	0.17%	201906
铃木	日本	2843	0.17%	201906
广汽埃安	中国	2819	0.16%	201906
东南	中国	2672	0.16%	201906
北汽幻速	中国	2468	0.14%	201906
小鹏汽车	中国	2237	0.13%	201906
北汽威旺	中国	2109	0.12%	201906
北京	中国	1971	0.11%	201906
中华	中国	1907	0.11%	201906
星途	中国	1758	0.1%	201906
吉利几何	中国	1743	0.1%	201906
讴歌	日本	1550	0.09%	201906
东风	中国	1509	0.09%	201906
雷诺	法国	1503	0.09%	201906
猎豹汽车	中国	1440	0.08%	201906
海马	中国	1427	0.08%	201906
新特汽车	中国	1318	0.08%	201906
凯翼	中国	1195	0.07%	201906
北汽昌河	中国	1147	0.07%	201906
开瑞	中国	1125	0.07%	201906
福田	中国	1119	0.07%	201906
蔚来	中国	1092	0.06%	201906
长安凯程	中国	861	0.05%	201906
DS	法国	803	0.05%	201906
华颂	中国	661	0.04%	201906
中国重汽VGV	中国	615	0.04%	201906
一汽	中国	543	0.03%	201906
福田乘用车	中国	539	0.03%	201906
欧尚汽车	中国	394	0.02%	201906
